Time@Axial Accel (Gs),Axial Accel (Gs),bILBA,Time@Lateral Accel (Gs),Lateral Accel (Gs),bILBA
0.62625,18.4,b1100,1.2525,0.87,b1100
0.62875,18.61,b1100,1.2575,0.7,b1100
0.63125,18.61,b1100,1.2625,0.7,b1100
0.63375,18.82,b1100,1.2675,0.78,b1100
0.63625,18.82,b1100,1.2725,0.35,b1100
0.63875,18.47,b1100,1.2775,0.7,b1100
0.64125,18.47,b1100,1.2825,0.35,b1100
0.64375,18.54,b1100,1.2875,0.61,b1100
0.64625,18.54,b1100,1.2925,0.08,b1100
0.64875,18.75,b1100,1.2975,0.35,b1100
0.65125,18.47,b1100,1.3025,0.7,b1100
0.65375,18.4,b1100,1.3075,0.7,b1100
0.65625,18.61,b1100,1.3125,0.96,b1100
0.65875,18.82,b1100,1.3175,0.96,b1100
0.66125,18.75,b1100,1.3225,1.22,b1100
0.66375,18.4,b1100,1.3275,0.78,b1100
0.66625,18.4,b1100,1.3325,0.96,b1100
0.66875,18.26,b1100,1.3375,0.7,b1100
0.67125,18.47,b1100,1.3425,1.4,b1100
0.67375,18.33,b1100,1.3475,1.13,b1100
0.67625,18.33,b1100,1.3525,1.4,b1100
0.67875,18.54,b1100,1.3575,1.05,b1100
0.68125,18.26,b1100,1.3625,1.22,b1100
0.68375,18.4,b1100,1.3675,0.96,b1100
0.68625,18.54,b1100,1.3725,0.87,b1100
0.68875,18.19,b1100,1.3775,1.13,b1100
0.69125,18.05,b1100,1.3825,0.52,b1100
0.69375,18.12,b1100,1.3875,1.05,b1100
0.69625,18.33,b1100,1.3925,0.7,b1100
0.69875,18.26,b1100,1.3975,0.96,b1100
0.70125,18.33,b1100,1.4025,0.43,b1100
0.70375,18.19,b1100,1.4075,0.7,b1100
0.70625,18.33,b1100,1.4125,0.78,b1100
0.70875,17.97,b1100,1.4175,0.87,b1100
0.71125,18.12,b1100,1.4225,0.7,b1100
0.71375,18.12,b1100,1.4275,0.78,b1100
0.71625,18.12,b1100,1.4325,1.05,b1100
0.71875,18.19,b1100,1.4375,0.87,b1100
0.72125,18.05,b1100,1.4425,1.57,b1100
0.72375,17.9,b1100,1.4475,0.7,b1100
0.72625,17.69,b1100,1.4525,1.05,b1100
0.72875,17.69,b1100,1.4575,0.7,b1100
0.73125,17.9,b1100,1.4625,1.05,b1100
0.73375,17.9,b1100,1.4675,0.17,b1100
0.73625,17.9,b1100,1.4725,0.52,b1100
0.73875,17.9,b1100,1.4775,0.7,b1100
0.74125,18.05,b1100,1.4825,0.87,b1100
0.74375,18.05,b1100,1.4875,0.7,b1100
0.74625,18.05,b1100,1.4925,0.52,b1100
0.74875,17.97,b1100,1.4975,0.17,b1100
0.75125,18.12,b1100,1.5025,0.7,b1100
0.75375,17.83,b1100,1.5075,0.78,b1100
0.75625,17.83,b1100,1.5125,1.22,b1100
0.75875,18.05,b1100,1.5175,0.7,b1100
0.76125,17.97,b1100,1.5225,0.7,b1100
0.76375,17.97,b1100,1.5275,0.87,b1100
0.76625,17.97,b1100,1.5325,0.78,b1100
0.76875,18.05,b1100,1.5375,0.7,b1100
0.77125,17.9,b1100,1.5425,0.7,b1100
0.77375,17.83,b1100,1.5475,0.52,b1100
0.77625,17.9,b1100,1.5525,0.52,b1100
0.77875,17.76,b1100,1.5575,0.7,b1100
0.78125,17.69,b1100,1.5625,0.26,b1100
0.78375,17.83,b1100,1.5675,0.7,b1100
0.78625,17.76,b1100,1.5725,0.35,b1100
0.78875,17.9,b1100,1.5775,0.43,b1100
0.79125,17.97,b1100,1.5825,0.52,b1100
0.79375,17.76,b1100,1.5875,0.78,b1100
0.79625,17.83,b1100,1.5925,0.78,b1100
0.79875,17.76,b1100,1.5975,0.35,b1100
0.80125,17.9,b1100,1.6025,1.13,b1100
0.80375,17.97,b1100,1.6075,0.43,b1100
0.80625,17.9,b1100,1.6125,0.78,b1100
0.80875,17.76,b1100,1.6175,0.7,b1100
0.81125,17.9,b1100,1.6225,1.22,b1100
0.81375,17.9,b1100,1.6275,1.31,b1100
0.81625,17.97,b1100,1.6325,1.05,b1100
0.81875,18.05,b1100,1.6375,1.4,b1100
0.82125,17.97,b1100,1.6425,1.4,b1100
0.82375,17.97,b1100,1.6475,1.22,b1100
0.82625,17.97,b1100,1.6525,0.87,b1100
0.82875,17.76,b1100,1.6575,1.05,b1100
0.83125,18.05,b1100,1.6625,0.43,b1100
0.83375,18.05,b1100,1.6675,0.35,b1100
0.83625,18.05,b1100,1.6725,0.35,b1100
0.83875,17.76,b1100,1.6775,0.7,b1100
0.84125,17.97,b1100,1.6825,0.26,b1100
0.84375,18.05,b1100,1.6875,0.43,b1100
0.84625,17.76,b1100,1.6925,0.43,b1100
0.84875,17.9,b1100,1.6975,0.52,b1100
0.85125,17.97,b1100,1.7025,0.87,b1100
0.85375,18.12,b1100,1.7075,1.05,b1100
0.85625,18.12,b1100,1.7125,1.13,b1100
0.85875,18.12,b1100,1.7175,1.05,b1100
0.86125,18.05,b1100,1.7225,1.75,b1100
0.86375,18.26,b1100,1.7275,1.22,b1100
0.86625,18.19,b1100,1.7325,1.4,b1100
0.86875,18.19,b1100,1.7375,1.4,b1100
0.87125,18.19,b1100,1.7425,1.05,b1100
0.87375,18.05,b1100,1.7475,1.4,b1100
0.87625,17.97,b1100,1.7525,1.57,b1100
0.87875,18.05,b1100,1.7575,1.4,b1100
0.88125,17.97,b1100,1.7625,1.05,b1100
0.88375,17.83,b1100,1.7675,0.96,b1100
0.88625,18.05,b1100,1.7725,0.87,b1100
0.88875,17.97,b1100,1.7775,1.4,b1100
0.89125,18.12,b1100,1.7825,0.7,b1100
0.89375,18.12,b1100,1.7875,1.22,b1100
0.89625,18.05,b1100,1.7925,0.7,b1100
0.89875,17.97,b1100,1.7975,1.13,b1100
0.90125,18.05,b1100,1.8025,0.78,b1100
0.90375,18.12,b1100,1.8075,1.4,b1100
0.90625,18.12,b1100,1.8125,0.87,b1100
0.90875,18.12,b1100,1.8175,1.05,b1100
0.91125,18.19,b1100,1.8225,1.4,b1100
0.91375,18.33,b1100,1.8275,0.87,b1100
0.91625,18.19,b1100,1.8325,0.87,b1100
0.91875,18.05,b1100,1.8375,1.4,b1100
0.92125,18.19,b1100,1.8425,1.05,b1100
0.92375,18.12,b1100,1.8475,0.7,b1100
0.92625,18.05,b1100,1.8525,0.87,b1100
0.92875,18.12,b1100,1.8575,0.43,b1100
0.93125,18.19,b1100,1.8625,1.22,b1100
0.93375,18.19,b1100,1.8675,1.22,b1100
0.93625,18.19,b1100,1.8725,1.05,b1100
0.93875,18.12,b1100,1.8775,0.7,b1100
0.94125,18.19,b1100,1.8825,0.7,b1100
0.94375,18.12,b1100,1.8875,1.13,b1100
0.94625,18.12,b1100,1.8925,0.87,b1100
0.94875,18.05,b1100,1.8975,1.22,b1100
0.95125,18.05,b1100,1.9025,1.4,b1100
0.95375,18.12,b1100,1.9075,0.87,b1100
0.95625,17.97,b1100,1.9125,0.7,b1100
0.95875,18.05,b1100,1.9175,0.7,b1100
0.96125,18.12,b1100,1.9225,0.52,b1100
0.96375,18.12,b1100,1.9275,0.78,b1100
0.96625,18.12,b1100,1.9325,0.78,b1100
0.96875,18.19,b1100,1.9375,1.13,b1100
0.97125,18.19,b1100,1.9425,1.13,b1100
0.97375,18.19,b1100,1.9475,1.4,b1100
0.97625,18.19,b1100,1.9525,1.48,b1100
0.97875,18.33,b1100,1.9575,1.05,b1100
0.98125,18.4,b1100,1.9625,1.48,b1100
0.98375,18.4,b1100,1.9675,1.13,b1100
0.98625,18.33,b1100,1.9725,1.4,b1100
0.98875,18.26,b1100,1.9775,0.96,b1100
0.99125,18.26,b1100,1.9825,1.57,b1100
0.99375,18.26,b1100,1.9875,0.7,b1100
0.99625,18.26,b1100,1.9925,0.87,b1100
0.99875,18.26,b1100,1.9975,0.78,b1100
1.00125,18.26,b1100,2.0025,1.05,b1100
1.00375,18.19,b1100,2.0075,0.7,b1100
1.00625,18.33,b1100,2.0125,1.05,b1100
1.00875,18.33,b1100,2.0175,1.05,b1100
1.01125,18.33,b1100,2.0225,1.22,b1100
1.01375,18.12,b1100,2.0275,1.05,b1100
1.01625,18.05,b1100,2.0325,1.05,b1100
1.01875,18.05,b1100,2.0375,1.4,b1100
1.02125,18.12,b1100,2.0425,1.13,b1100
1.02375,18.26,b1100,2.0475,1.22,b1100
1.02625,18.19,b1100,2.0525,1.05,b1100
1.02875,18.19,b1100,2.0575,1.13,b1100
1.03125,18.19,b1100,2.0625,1.22,b1100
1.03375,18.12,b1100,2.0675,0.96,b1100
1.03625,18.26,b1100,2.0725,1.4,b1100
1.03875,18.19,b1100,2.0775,1.22,b1100
1.04125,18.4,b1100,2.0825,1.05,b1100
1.04375,18.19,b1100,2.0875,0.87,b1100
